time,generation,consumption
2018-01-01 00:00:00,0.0,0.9
2018-01-01 01:00:00,0.0,1.44
2018-01-01 02:00:00,0.0,0.81
2018-01-01 03:00:00,0.0,0.83
2018-01-01 04:00:00,0.0,0.81
2018-01-01 05:00:00,0.0,0.8
2018-01-01 06:00:00,0.0,0.81
2018-01-01 07:00:00,0.0,0.88
2018-01-01 08:00:00,0.23,1.3
2018-01-01 09:00:00,0.82,1.13
2018-01-01 10:00:00,1.04,1.08
2018-01-01 11:00:00,1.33,0.97
2018-01-01 12:00:00,1.27,0.77
2018-01-01 13:00:00,0.88,0.91
2018-01-01 14:00:00,0.79,0.48
2018-01-01 15:00:00,0.43,1.14
2018-01-01 16:00:00,0.31,0.77
2018-01-01 17:00:00,0.01,0.87
2018-01-01 18:00:00,0.0,1.03
2018-01-01 19:00:00,0.0,1.44
2018-01-01 20:00:00,0.0,1.09
2018-01-01 21:00:00,0.0,0.94
2018-01-01 22:00:00,0.01,0.91
2018-01-01 23:00:00,0.0,0.44
2018-01-02 00:00:00,0.0,0.58
2018-01-02 01:00:00,0.0,0.68
2018-01-02 02:00:00,0.0,0.66
2018-01-02 03:00:00,0.0,0.58
2018-01-02 04:00:00,0.0,0.59
2018-01-02 05:00:00,0.0,0.7
2018-01-02 06:00:00,0.0,0.87
2018-01-02 07:00:00,0.0,1.05
2018-01-02 08:00:00,0.07,1.11
2018-01-02 09:00:00,0.32,1.04
2018-01-02 10:00:00,0.54,0.69
2018-01-02 11:00:00,0.67,2.89
2018-01-02 12:00:00,0.7,0.79
2018-01-02 13:00:00,0.56,0.96
2018-01-02 14:00:00,0.37,0.41
2018-01-02 15:00:00,0.17,0.83
2018-01-02 16:00:00,0.02,0.71
2018-01-02 17:00:00,0.02,0.99
2018-01-02 18:00:00,0.0,1.49
2018-01-02 19:00:00,0.0,1.95
2018-01-02 20:00:00,0.0,1.18
2018-01-02 21:00:00,0.0,1.21
2018-01-02 22:00:00,0.0,0.75
2018-01-02 23:00:00,0.0,0.34
2018-01-03 00:00:00,0.0,0.43
2018-01-03 01:00:00,0.0,0.52
2018-01-03 02:00:00,0.0,0.54
2018-01-03 03:00:00,0.0,0.59
2018-01-03 04:00:00,0.0,0.66
2018-01-03 05:00:00,0.0,0.67
2018-01-03 06:00:00,0.0,0.9
2018-01-03 07:00:00,0.03,1.34
2018-01-03 08:00:00,0.52,1.05
2018-01-03 09:00:00,0.89,0.64
2018-01-03 10:00:00,1.49,0.67
2018-01-03 11:00:00,2.04,0.72
2018-01-03 12:00:00,2.58,0.89
2018-01-03 13:00:00,2.84,0.82
2018-01-03 14:00:00,2.73,0.53
2018-01-03 15:00:00,2.13,0.33
2018-01-03 16:00:00,0.62,0.33
2018-01-03 17:00:00,0.03,0.61
2018-01-03 18:00:00,0.0,0.88
2018-01-03 19:00:00,0.0,1.02
2018-01-03 20:00:00,0.0,0.94
2018-01-03 21:00:00,0.0,0.9
2018-01-03 22:00:00,0.01,0.67
2018-01-03 23:00:00,0.0,0.37
2018-01-04 00:00:00,0.0,0.36
2018-01-04 01:00:00,0.0,0.52
2018-01-04 02:00:00,0.0,0.5
2018-01-04 03:00:00,0.0,0.47
2018-01-04 04:00:00,0.0,0.54
2018-01-04 05:00:00,0.0,0.54
2018-01-04 06:00:00,0.0,0.55
2018-01-04 07:00:00,0.03,1.21
2018-01-04 08:00:00,0.45,1.0
2018-01-04 09:00:00,0.91,1.13
2018-01-04 10:00:00,1.51,0.63
2018-01-04 11:00:00,2.22,0.42
2018-01-04 12:00:00,1.97,0.51
