time,generation,consumption
2018-01-01 00:00:00,0.0,2.52
2018-01-01 01:00:00,0.73,1.44
2018-01-01 02:00:00,0.0,2.79
2018-01-01 03:00:00,0.0,2.83
2018-01-01 04:00:00,0.0,2.85
2018-01-01 05:00:00,0.0,2.83
2018-01-01 06:00:00,0.0,2.39
2018-01-01 07:00:00,0.01,2.3
2018-01-01 08:00:00,0.23,2.35
2018-01-01 09:00:00,0.99,2.31
2018-01-01 10:00:00,1.17,2.38
2018-01-01 11:00:00,0.73,2.73
2018-01-01 12:00:00,1.28,2.92
2018-01-01 13:00:00,0.84,3.18
2018-01-01 14:00:00,0.73,2.61
2018-01-01 15:00:00,0.41,5.07
2018-01-01 16:00:00,0.29,6.73
2018-01-01 17:00:00,0.02,5.99
2018-01-01 18:00:00,0.01,2.82
2018-01-01 19:00:00,0.0,2.81
2018-01-01 20:00:00,0.0,2.84
2018-01-01 21:00:00,0.0,4.23
2018-01-01 22:00:00,0.0,2.58
2018-01-01 23:00:00,0.0,2.99
2018-01-02 00:00:00,0.0,3.06
2018-01-02 01:00:00,0.0,3.21
2018-01-02 02:00:00,0.0,3.21
2018-01-02 03:00:00,0.0,3.17
2018-01-02 04:00:00,0.0,3.33
2018-01-02 05:00:00,0.0,3.3
2018-01-02 06:00:00,0.0,3.27
2018-01-02 07:00:00,0.0,2.79
2018-01-02 08:00:00,0.06,3.07
2018-01-02 09:00:00,0.3,3.28
2018-01-02 10:00:00,0.51,6.93
2018-01-02 11:00:00,0.64,3.61
2018-01-02 12:00:00,0.67,4.48
2018-01-02 13:00:00,0.53,3.19
2018-01-02 14:00:00,0.34,2.97
2018-01-02 15:00:00,0.15,3.26
2018-01-02 16:00:00,0.01,3.24
2018-01-02 17:00:00,0.03,3.65
2018-01-02 18:00:00,0.0,8.13
2018-01-02 19:00:00,0.0,4.61
2018-01-02 20:00:00,0.0,2.49
2018-01-02 21:00:00,0.0,1.39
2018-01-02 22:00:00,0.0,2.9
2018-01-02 23:00:00,0.0,3.36
2018-01-03 00:00:00,0.0,3.52
2018-01-03 01:00:00,0.0,3.2
2018-01-03 02:00:00,0.0,2.87
2018-01-03 03:00:00,0.0,2.91
2018-01-03 04:00:00,0.0,3.05
2018-01-03 05:00:00,0.0,3.18
2018-01-03 06:00:00,0.0,3.14
2018-01-03 07:00:00,0.01,3.24
2018-01-03 08:00:00,0.52,2.43
2018-01-03 09:00:00,1.38,2.56
2018-01-03 10:00:00,2.99,2.35
2018-01-03 11:00:00,3.47,4.57
2018-01-03 12:00:00,3.8,2.71
2018-01-03 13:00:00,3.83,3.05
2018-01-03 14:00:00,3.39,2.1
2018-01-03 15:00:00,1.9,0.96
2018-01-03 16:00:00,0.11,1.13
2018-01-03 17:00:00,0.01,0.61
2018-01-03 18:00:00,0.01,3.22
2018-01-03 19:00:00,0.0,1.19
2018-01-03 20:00:00,0.0,0.86
2018-01-03 21:00:00,0.0,0.54
2018-01-03 22:00:00,0.0,0.81
2018-01-03 23:00:00,0.0,0.68
2018-01-04 00:00:00,0.0,0.67
2018-01-04 01:00:00,0.0,0.57
2018-01-04 02:00:00,0.0,0.3
2018-01-04 03:00:00,0.0,0.5
2018-01-04 04:00:00,0.0,0.72
2018-01-04 05:00:00,0.0,0.97
2018-01-04 06:00:00,0.0,0.59
2018-01-04 07:00:00,0.02,0.58
2018-01-04 08:00:00,0.46,0.31
2018-01-04 09:00:00,1.47,0.38
2018-01-04 10:00:00,3.13,0.34
2018-01-04 11:00:00,3.62,0.36
2018-01-04 12:00:00,2.62,0.56
2018-01-04 13:00:00,2.9,0.59
2018-01-04 14:00:00,1.88,0.87
2018-01-04 15:00:00,0.69,0.77
2018-01-04 16:00:00,0.22,1.32
2018-01-04 17:00:00,0.01,0.94
2018-01-04 18:00:00,0.0,0.82
2018-01-04 19:00:00,0.0,1.66
2018-01-04 20:00:00,0.0,4.79
2018-01-04 21:00:00,0.0,4.26
2018-01-04 22:00:00,0.0,1.16
2018-01-04 23:00:00,0.0,0.75
2018-01-05 00:00:00,0.0,0.63
2018-01-05 01:00:00,0.0,0.5
2018-01-05 02:00:00,0.0,0.29
2018-01-05 03:00:00,0.0,0.31
2018-01-05 04:00:00,0.0,0.38
2018-01-05 05:00:00,0.0,0.98
2018-01-05 06:00:00,0.0,0.52
2018-01-05 07:00:00,0.03,0.65
2018-01-05 08:00:00,0.18,0.53
2018-01-05 09:00:00,0.59,0.91
2018-01-05 10:00:00,1.19,0.64
2018-01-05 11:00:00,3.82,0.39
2018-01-05 12:00:00,3.88,0.43
2018-01-05 13:00:00,3.75,0.32
2018-01-05 14:00:00,3.34,0.51
2018-01-05 15:00:00,1.97,0.59
2018-01-05 16:00:00,0.11,0.76
2018-01-05 17:00:00,0.02,0.74
2018-01-05 18:00:00,0.01,0.35
2018-01-05 19:00:00,0.0,0.45
2018-01-05 20:00:00,0.0,4.03
2018-01-05 21:00:00,0.0,1.4
2018-01-05 22:00:00,0.0,0.95
2018-01-05 23:00:00,0.0,0.79
2018-01-06 00:00:00,0.0,0.73
2018-01-06 01:00:00,0.0,0.68
2018-01-06 02:00:00,0.0,0.48
2018-01-06 03:00:00,0.0,0.56
2018-01-06 04:00:00,0.0,0.44
2018-01-06 05:00:00,0.0,0.94
2018-01-06 06:00:00,0.0,0.48
2018-01-06 07:00:00,0.0,0.36
2018-01-06 08:00:00,0.13,0.48
2018-01-06 09:00:00,0.42,0.69
2018-01-06 10:00:00,1.33,0.82
2018-01-06 11:00:00,3.44,1.3
2018-01-06 12:00:00,3.7,1.23
2018-01-06 13:00:00,1.56,0.56
2018-01-06 14:00:00,0.63,0.31
2018-01-06 15:00:00,0.52,0.31
2018-01-06 16:00:00,0.27,0.3
2018-01-06 17:00:00,0.01,0.27
2018-01-06 18:00:00,0.01,0.27
2018-01-06 19:00:00,0.0,0.3
2018-01-06 20:00:00,0.0,0.28
2018-01-06 21:00:00,0.0,0.54
2018-01-06 22:00:00,0.0,1.64
2018-01-06 23:00:00,0.0,1.02
2018-01-07 00:00:00,0.0,0.88
2018-01-07 01:00:00,0.0,0.74
2018-01-07 02:00:00,0.0,0.49
2018-01-07 03:00:00,0.0,0.46
2018-01-07 04:00:00,0.0,0.45
2018-01-07 05:00:00,0.0,0.48
2018-01-07 06:00:00,0.0,0.45
2018-01-07 07:00:00,0.01,0.49
2018-01-07 08:00:00,0.06,0.45
2018-01-07 09:00:00,0.53,0.53
2018-01-07 10:00:00,0.6,0.57
2018-01-07 11:00:00,0.55,2.58
2018-01-07 12:00:00,0.46,0.78
2018-01-07 13:00:00,0.22,0.33
2018-01-07 14:00:00,0.17,1.05
2018-01-07 15:00:00,0.16,1.06
